reseña_id,libro_id,cliente_id,calificacion,comentario,fecha_reseña
401,978-84-18196-00-3,254,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Literatura escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2023-10-06
402,978-13--4235116-6,323,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-06-06
403,978-13--4235116-6,214,3,Es un libro de Autoayuda escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-02-18
404,978-13--4235116-6,219,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-08-29
405,978-84-10341-31-9,222,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Historia escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-11-17
406,978-84-10341-31-9,339,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Historia escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-10-04
407,978-84-8327-648-8,277,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Historia escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-03-20
408,978-84-8327-648-8,229,2,"Escrita una resea crtica pero respetuosa, natural y coherente en espaol sobre un libro. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Historia escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-12-26
409,978-84-7672-423-1,250,3,El libro es un libro de Ciencias escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2024-11-28
410,978-84-7672-423-1,358,1,Resea: es un libro de Ciencias escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-10-29
411,978-84-7672-423-1,265,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Ciencias escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-11-09
412,978-84-226-9166-2,362,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Literatura escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-04-07
413,978-84-226-9166-2,324,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Literatura escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-08-20
414,978-13-89325-28-1,277,2,"Escrita una resea crtica pero respetuosa, natural y coherente en espaol sobre un libro. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Literatura escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-07-29
415,978-13-89325-28-1,264,5,El libro es un libro de Literatura escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2024-09-03
416,978-13-89325-28-1,344,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Literatura escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-08-01
417,978-84-9117-182-9,229,2,El libro es un libro de Literatura escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2024-12-28
418,978-84-9117-182-9,325,5,El libro es un libro de Literatura escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2023-10-16
419,978-84-331-5098-1,321,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-10-23
420,978-84-331-5098-1,217,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-08-26
